Year,Air Pollutant,Air Quality Station EoI Code,Air Quality Station Nat Code,Air Quality Station Name,Sampling Point Id,Longitude,Latitude,Municipality,Air Quality Station Area,Air Quality Station Type,Altitude,Main Emission Sources
2025,PM10,ES1044A,50297026,EL PICARRAL,SP_50297026_10_M,-0.87111,41.67028,ZARAGOZA,suburban,traffic,195.0,Transport
2025,NOX as NO2,ES1044A,50297026,EL PICARRAL,SP_50297026_12_8,-0.87111,41.67028,ZARAGOZA,suburban,traffic,195.0,Transport
2025,O3,ES1044A,50297026,EL PICARRAL,SP_50297026_14_6,-0.87111,41.67028,ZARAGOZA,suburban,traffic,195.0,Transport
2025,As in PM10,ES1044A,50297026,EL PICARRAL,SP_50297026_17_M,-0.87111,41.67028,ZARAGOZA,suburban,traffic,195.0,Transport
2025,Pb in PM10,ES1044A,50297026,EL PICARRAL,SP_50297026_19_M,-0.87111,41.67028,ZARAGOZA,suburban,traffic,195.0,Transport
2025,Cd in PM10,ES1044A,50297026,EL PICARRAL,SP_50297026_28_M,-0.87111,41.67028,ZARAGOZA,suburban,traffic,195.0,Transport
2025,CO,ES1044A,50297026,EL PICARRAL,SP_50297026_6_48,-0.87111,41.67028,ZARAGOZA,suburban,traffic,195.0,Transport
2025,Ni in PM10,ES1044A,50297026,EL PICARRAL,SP_50297026_62_M,-0.87111,41.67028,ZARAGOZA,suburban,traffic,195.0,Transport
2025,NO,ES1044A,50297026,EL PICARRAL,SP_50297026_7_8,-0.87111,41.67028,ZARAGOZA,suburban,traffic,195.0,Transport
2025,NO2,ES1044A,50297026,EL PICARRAL,SP_50297026_8_8,-0.87111,41.67028,ZARAGOZA,suburban,traffic,195.0,Transport
2025,PM2.5,ES1044A,50297026,EL PICARRAL,SP_50297026_9_52,-0.87111,41.67028,ZARAGOZA,suburban,traffic,195.0,Transport
2025,SO2,ES1047A,50297029,ROGER DE FLOR,SP_50297029_1_38,-0.9161,41.6514,ZARAGOZA,urban,traffic,212.0,Transport
2025,PM10,ES1047A,50297029,ROGER DE FLOR,SP_50297029_10_49,-0.9161,41.6514,ZARAGOZA,urban,traffic,212.0,Transport
2025,NOX as NO2,ES1047A,50297029,ROGER DE FLOR,SP_50297029_12_8,-0.9161,41.6514,ZARAGOZA,urban,traffic,212.0,Transport
2025,O3,ES1047A,50297029,ROGER DE FLOR,SP_50297029_14_6,-0.9161,41.6514,ZARAGOZA,urban,traffic,212.0,Transport
2025,BaP in PM10,ES1047A,50297029,ROGER DE FLOR,SP_50297029_27_M,-0.9161,41.6514,ZARAGOZA,urban,traffic,212.0,Transport
2025,BaP in PM10,ES1047A,50297029,ROGER DE FLOR,SP_50297029_27_M,-0.9161,41.6514,ZARAGOZA,urban,traffic,212.0,Transport
2025,C6H6,ES1047A,50297029,ROGER DE FLOR,SP_50297029_30_59,-0.9161,41.6514,ZARAGOZA,urban,traffic,212.0,Transport
2025,CO,ES1047A,50297029,ROGER DE FLOR,SP_50297029_6_48,-0.9161,41.6514,ZARAGOZA,urban,traffic,212.0,Transport
2025,NO,ES1047A,50297029,ROGER DE FLOR,SP_50297029_7_8,-0.9161,41.6514,ZARAGOZA,urban,traffic,212.0,Transport
2025,Acenaphtylene,ES1047A,50297029,ROGER DE FLOR,SP_50297029_72_M,-0.9161,41.6514,ZARAGOZA,urban,traffic,212.0,Transport
2025,Fluorene,ES1047A,50297029,ROGER DE FLOR,SP_50297029_74_M,-0.9161,41.6514,ZARAGOZA,urban,traffic,212.0,Transport
2025,Phenanthrene,ES1047A,50297029,ROGER DE FLOR,SP_50297029_75_M,-0.9161,41.6514,ZARAGOZA,urban,traffic,212.0,Transport
2025,Anthracene,ES1047A,50297029,ROGER DE FLOR,SP_50297029_76_M,-0.9161,41.6514,ZARAGOZA,urban,traffic,212.0,Transport
2025,Fluoranthene,ES1047A,50297029,ROGER DE FLOR,SP_50297029_77_M,-0.9161,41.6514,ZARAGOZA,urban,traffic,212.0,Transport
2025,Pyrene,ES1047A,50297029,ROGER DE FLOR,SP_50297029_78_M,-0.9161,41.6514,ZARAGOZA,urban,traffic,212.0,Transport
2025,Chrysene,ES1047A,50297029,ROGER DE FLOR,SP_50297029_79_M,-0.9161,41.6514,ZARAGOZA,urban,traffic,212.0,Transport
2025,Chrysene,ES1047A,50297029,ROGER DE FLOR,SP_50297029_79_M,-0.9161,41.6514,ZARAGOZA,urban,traffic,212.0,Transport
2025,NO2,ES1047A,50297029,ROGER DE FLOR,SP_50297029_8_8,-0.9161,41.6514,ZARAGOZA,urban,traffic,212.0,Transport
2025,Benzo(ghi)perylene in PM10,ES1047A,50297029,ROGER DE FLOR,SP_50297029_80_M,-0.9161,41.6514,ZARAGOZA,urban,traffic,212.0,Transport
2025,Benzo(ghi)perylene in PM10,ES1047A,50297029,ROGER DE FLOR,SP_50297029_80_M,-0.9161,41.6514,ZARAGOZA,urban,traffic,212.0,Transport
2025,Dibenzo(ah)anthracene in PM10,ES1047A,50297029,ROGER DE FLOR,SP_50297029_94_M,-0.9161,41.6514,ZARAGOZA,urban,traffic,212.0,Transport
2025,Dibenzo(ah)anthracene in PM10,ES1047A,50297029,ROGER DE FLOR,SP_50297029_94_M,-0.9161,41.6514,ZARAGOZA,urban,traffic,212.0,Transport
2025,"Indeno-(1,2,3-cd)pyrene in PM",ES1047A,50297029,ROGER DE FLOR,SP_50297029_95_M,-0.9161,41.6514,ZARAGOZA,urban,traffic,212.0,Transport
2025,"Indeno-(1,2,3-cd)pyrene in PM",ES1047A,50297029,ROGER DE FLOR,SP_50297029_95_M,-0.9161,41.6514,ZARAGOZA,urban,traffic,212.0,Transport
2025,Benzo(k)fluoranthene in PM10,ES1047A,50297029,ROGER DE FLOR,SP_50297029_96_M,-0.9161,41.6514,ZARAGOZA,urban,traffic,212.0,Transport
2025,Benzo(k)fluoranthene in PM10,ES1047A,50297029,ROGER DE FLOR,SP_50297029_96_M,-0.9161,41.6514,ZARAGOZA,urban,traffic,212.0,Transport
2025,Benzo(j)fluoranthene in PM10,ES1047A,50297029,ROGER DE FLOR,SP_50297029_97_M,-0.9161,41.6514,ZARAGOZA,urban,traffic,212.0,Transport
