STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,sex,Sex,age,Age class,icd10,International Statistical Classification of Diseases and Related Health Problems (ICD-10),resid,Place of residence,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:HLTH_CD_ARO(1.0),Causes of death - deaths by country of residence and occurrence,A,Annual,NR,Number,T,Total,TOTAL,Total,J,Diseases of the respiratory system (J00-J99),TOT_IN,All deaths reported in the country,ES,Spain,2011,,42243,,,,,
dataflow,ESTAT:HLTH_CD_ARO(1.0),Causes of death - deaths by country of residence and occurrence,A,Annual,NR,Number,T,Total,TOTAL,Total,J,Diseases of the respiratory system (J00-J99),TOT_IN,All deaths reported in the country,ES,Spain,2012,,47336,,,,,
dataflow,ESTAT:HLTH_CD_ARO(1.0),Causes of death - deaths by country of residence and occurrence,A,Annual,NR,Number,T,Total,TOTAL,Total,J,Diseases of the respiratory system (J00-J99),TOT_IN,All deaths reported in the country,ES,Spain,2013,,42565,,,,,
dataflow,ESTAT:HLTH_CD_ARO(1.0),Causes of death - deaths by country of residence and occurrence,A,Annual,NR,Number,T,Total,TOTAL,Total,J,Diseases of the respiratory system (J00-J99),TOT_IN,All deaths reported in the country,ES,Spain,2014,,43840,,,,,
dataflow,ESTAT:HLTH_CD_ARO(1.0),Causes of death - deaths by country of residence and occurrence,A,Annual,NR,Number,T,Total,TOTAL,Total,J,Diseases of the respiratory system (J00-J99),TOT_IN,All deaths reported in the country,ES,Spain,2015,,51848,,,,,
dataflow,ESTAT:HLTH_CD_ARO(1.0),Causes of death - deaths by country of residence and occurrence,A,Annual,NR,Number,T,Total,TOTAL,Total,J,Diseases of the respiratory system (J00-J99),TOT_IN,All deaths reported in the country,ES,Spain,2016,,46812,,,,,
dataflow,ESTAT:HLTH_CD_ARO(1.0),Causes of death - deaths by country of residence and occurrence,A,Annual,NR,Number,T,Total,TOTAL,Total,J,Diseases of the respiratory system (J00-J99),TOT_IN,All deaths reported in the country,ES,Spain,2017,,51615,,,,,
dataflow,ESTAT:HLTH_CD_ARO(1.0),Causes of death - deaths by country of residence and occurrence,A,Annual,NR,Number,T,Total,TOTAL,Total,J,Diseases of the respiratory system (J00-J99),TOT_IN,All deaths reported in the country,ES,Spain,2018,,53687,,,,,
dataflow,ESTAT:HLTH_CD_ARO(1.0),Causes of death - deaths by country of residence and occurrence,A,Annual,NR,Number,T,Total,TOTAL,Total,J,Diseases of the respiratory system (J00-J99),TOT_IN,All deaths reported in the country,ES,Spain,2019,,47681,,,,,
dataflow,ESTAT:HLTH_CD_ARO(1.0),Causes of death - deaths by country of residence and occurrence,A,Annual,NR,Number,T,Total,TOTAL,Total,J,Diseases of the respiratory system (J00-J99),TOT_IN,All deaths reported in the country,ES,Spain,2020,,42423,,,,,
dataflow,ESTAT:HLTH_CD_ARO(1.0),Causes of death - deaths by country of residence and occurrence,A,Annual,NR,Number,T,Total,TOTAL,Total,J,Diseases of the respiratory system (J00-J99),TOT_IN,All deaths reported in the country,ES,Spain,2021,,35543,,,,,
dataflow,ESTAT:HLTH_CD_ARO(1.0),Causes of death - deaths by country of residence and occurrence,A,Annual,NR,Number,T,Total,TOTAL,Total,J,Diseases of the respiratory system (J00-J99),TOT_IN,All deaths reported in the country,ES,Spain,2022,,43024,,,,,
dataflow,ESTAT:HLTH_CD_ARO(1.0),Causes of death - deaths by country of residence and occurrence,A,Annual,NR,Number,T,Total,TOTAL,Total,J,Diseases of the respiratory system (J00-J99),TOT_IN,All deaths reported in the country,ES,Spain,2023,,47003,,,,,
dataflow,ESTAT:HLTH_CD_ARO(1.0),Causes of death - deaths by country of residence and occurrence,A,Annual,NR,Number,T,Total,TOTAL,Total,J,Diseases of the respiratory system (J00-J99),TOT_IN,All deaths reported in the country,ES,Spain,2024,,50132,,,,,
dataflow,ESTAT:HLTH_CD_ARO(1.0),Causes of death - deaths by country of residence and occurrence,A,Annual,NR,Number,T,Total,TOTAL,Total,J,Diseases of the respiratory system (J00-J99),TOT_RESID,All deaths of residents in or outside their home country,ES,Spain,2011,,42125,,,,,
dataflow,ESTAT:HLTH_CD_ARO(1.0),Causes of death - deaths by country of residence and occurrence,A,Annual,NR,Number,T,Total,TOTAL,Total,J,Diseases of the respiratory system (J00-J99),TOT_RESID,All deaths of residents in or outside their home country,ES,Spain,2012,,47237,,,,,
dataflow,ESTAT:HLTH_CD_ARO(1.0),Causes of death - deaths by country of residence and occurrence,A,Annual,NR,Number,T,Total,TOTAL,Total,J,Diseases of the respiratory system (J00-J99),TOT_RESID,All deaths of residents in or outside their home country,ES,Spain,2013,,42444,,,,,
dataflow,ESTAT:HLTH_CD_ARO(1.0),Causes of death - deaths by country of residence and occurrence,A,Annual,NR,Number,T,Total,TOTAL,Total,J,Diseases of the respiratory system (J00-J99),TOT_RESID,All deaths of residents in or outside their home country,ES,Spain,2014,,43699,,,,,
dataflow,ESTAT:HLTH_CD_ARO(1.0),Causes of death - deaths by country of residence and occurrence,A,Annual,NR,Number,T,Total,TOTAL,Total,J,Diseases of the respiratory system (J00-J99),TOT_RESID,All deaths of residents in or outside their home country,ES,Spain,2015,,51711,,,,,
dataflow,ESTAT:HLTH_CD_ARO(1.0),Causes of death - deaths by country of residence and occurrence,A,Annual,NR,Number,T,Total,TOTAL,Total,J,Diseases of the respiratory system (J00-J99),TOT_RESID,All deaths of residents in or outside their home country,ES,Spain,2016,,46649,,,,,
dataflow,ESTAT:HLTH_CD_ARO(1.0),Causes of death - deaths by country of residence and occurrence,A,Annual,NR,Number,T,Total,TOTAL,Total,J,Diseases of the respiratory system (J00-J99),TOT_RESID,All deaths of residents in or outside their home country,ES,Spain,2017,,51413,,,,,
dataflow,ESTAT:HLTH_CD_ARO(1.0),Causes of death - deaths by country of residence and occurrence,A,Annual,NR,Number,T,Total,TOTAL,Total,J,Diseases of the respiratory system (J00-J99),TOT_RESID,All deaths of residents in or outside their home country,ES,Spain,2018,,53476,,,,,
dataflow,ESTAT:HLTH_CD_ARO(1.0),Causes of death - deaths by country of residence and occurrence,A,Annual,NR,Number,T,Total,TOTAL,Total,J,Diseases of the respiratory system (J00-J99),TOT_RESID,All deaths of residents in or outside their home country,ES,Spain,2019,,47470,,,,,
dataflow,ESTAT:HLTH_CD_ARO(1.0),Causes of death - deaths by country of residence and occurrence,A,Annual,NR,Number,T,Total,TOTAL,Total,J,Diseases of the respiratory system (J00-J99),TOT_RESID,All deaths of residents in or outside their home country,ES,Spain,2020,,42329,,,,,
dataflow,ESTAT:HLTH_CD_ARO(1.0),Causes of death - deaths by country of residence and occurrence,A,Annual,NR,Number,T,Total,TOTAL,Total,J,Diseases of the respiratory system (J00-J99),TOT_RESID,All deaths of residents in or outside their home country,ES,Spain,2021,,35466,,,,,
dataflow,ESTAT:HLTH_CD_ARO(1.0),Causes of death - deaths by country of residence and occurrence,A,Annual,NR,Number,T,Total,TOTAL,Total,J,Diseases of the respiratory system (J00-J99),TOT_RESID,All deaths of residents in or outside their home country,ES,Spain,2022,,42839,,,,,
dataflow,ESTAT:HLTH_CD_ARO(1.0),Causes of death - deaths by country of residence and occurrence,A,Annual,NR,Number,T,Total,TOTAL,Total,J,Diseases of the respiratory system (J00-J99),TOT_RESID,All deaths of residents in or outside their home country,ES,Spain,2023,,46804,,,,,
