Samplingpoint,Pollutant,Start,End,Value,Unit,AggType,Validity,Verification,ResultTime,DataCapture,FkObservationLog
ES/SP_04066004_30_I,20,2013-01-01 09:00:00,2013-01-31 09:00:00,0.67,ug.m-3,var,1,1,2016-12-16 14:12:00,,205eb31e-371d-47df-8dcd-7456921adee0
ES/SP_04066004_30_I,20,2013-02-01 09:00:00,2013-02-28 09:00:00,0.62,ug.m-3,var,1,1,2016-12-16 14:12:00,,205eb31e-371d-47df-8dcd-7456921adee0
ES/SP_04066004_30_I,20,2013-03-01 09:00:00,2013-03-31 09:00:00,0.51,ug.m-3,var,1,1,2016-12-16 14:12:00,,205eb31e-371d-47df-8dcd-7456921adee0
ES/SP_04066004_30_I,20,2013-04-01 09:00:00,2013-04-30 09:00:00,0.47000000000000003,ug.m-3,var,1,1,2016-12-16 14:12:00,,205eb31e-371d-47df-8dcd-7456921adee0
ES/SP_04066004_30_I,20,2013-05-01 09:00:00,2013-05-31 09:00:00,0.13,ug.m-3,var,1,1,2016-12-16 14:12:00,,205eb31e-371d-47df-8dcd-7456921adee0
ES/SP_04066004_30_I,20,2013-06-01 09:00:00,2013-06-30 09:00:00,0.16,ug.m-3,var,1,1,2016-12-16 14:12:00,,205eb31e-371d-47df-8dcd-7456921adee0
ES/SP_04066004_30_I,20,2013-07-01 09:00:00,2013-07-31 09:00:00,0.30000000000000004,ug.m-3,var,1,1,2016-12-16 14:12:00,,205eb31e-371d-47df-8dcd-7456921adee0
ES/SP_04066004_30_I,20,2013-08-01 09:00:00,2013-08-31 09:00:00,0.16,ug.m-3,var,1,1,2016-12-16 14:12:00,,205eb31e-371d-47df-8dcd-7456921adee0
ES/SP_04066004_30_I,20,2013-09-01 09:00:00,2013-09-30 09:00:00,0.16,ug.m-3,var,1,1,2016-12-16 14:12:00,,205eb31e-371d-47df-8dcd-7456921adee0
ES/SP_04066004_30_I,20,2013-10-01 09:00:00,2013-10-31 09:00:00,0.56,ug.m-3,var,1,1,2016-12-16 14:12:00,,205eb31e-371d-47df-8dcd-7456921adee0
ES/SP_04066004_30_I,20,2013-11-01 09:00:00,2013-11-30 09:00:00,0.56,ug.m-3,var,1,1,2016-12-16 14:12:00,,205eb31e-371d-47df-8dcd-7456921adee0
ES/SP_04066004_30_I,20,2013-12-01 09:00:00,2013-12-31 09:00:00,0.8400000000000001,ug.m-3,var,1,1,2016-12-16 14:12:00,,205eb31e-371d-47df-8dcd-7456921adee0
ES/SP_04066004_30_I,20,2014-01-01 09:00:00,2014-01-31 09:00:00,0.68,ug.m-3,var,1,1,2016-12-16 13:54:00,,6cbd8e41-669d-44b5-a997-356e29d02ea0
